id,name
999,bundesweit
8,Baden-Württemberg
9,Bayern
11,Berlin
12,Brandenburg
4,Bremen
2,Hamburg
6,Hessen
13,Mecklenburg-Vorpommern
3,Niedersachsen
5,Nordrhein-Westfalen
7,Rheinland-Pfalz
10,Saarland
14,Sachsen
15,Sachsen-Anhalt
1,Schleswig-Holstein
16,Thüringen
101,Aachen
102,Arnsberg
103,Aschaffenburg
104,Augsburg
106,Bayreuth
107,Berlin
108,Bielefeld
109,Bochum
110,Bonn
111,Braunschweig
112,Bremen
113,Bremerhaven
123,Chemnitz
114,Coburg
134,Cottbus
115,Darmstadt
116,Detmold
117,Dillenburg
118,Dortmund
144,Dresden
120,Duisburg
119,Düsseldorf
121,Emden
145,Erfurt
122,Essen
124,Flensburg
148,Frankfurt (Oder)
125,Frankfurt am Main
126,Freiburg
128,Fulda
154,Gera
129,Gießen-Friedberg
130,Hagen
157,Halle
131,Hamburg
132,Hanau
133,Hannover
135,Heidenheim
136,Heilbronn
138,Karlsruhe
139,Kassel
140,Kiel
141,Koblenz
142,Köln
143,Konstanz
137,Krefeld
159,Leipzig
146,Limburg
150,Lübeck
149,Ludwigshafen
151,Lüneburg
171,Magdeburg
152,Mainz
153,Mannheim
155,München
156,Münster
182,Neubrandenburg
158,Nürnberg
160,Offenbach Main
161,Oldenburg
162,Osnabrück
163,Passau
164,Pforzheim
183,Potsdam
166,Regensburg
168,Reutlingen
184,Rostock
170,Saarbrücken
185,Schwerin
172,Siegen
174,Stade
175,Stuttgart
186,Suhl
176,Trier
177,Ulm
169,Villingen-Schwenningen
165,Weingarten
179,Wiesbaden
181,Wuppertal
180,Würzburg
